Län;År;Lokalkostnader, residens (kr);Lokalyta, residens (m2);Lokalkostnad per m2, residens (kr);Lokalkostnader (kr);Lokalyta (m2);Lokalkostnader per m2 (kr);Lokalkostnader per årsarbetskraft (kr);Lokalyta per årsarbetskraft (m2);Kontorslokalyta (m2);Kontorslokalyta per årsarbetskraft (m2);Summa lokalkostnader (kr)
K;2019.0;1668421,25;1240;1345,501008;6058082,04;3668;1651,60361;51421,6017;31,1343481;2502;21,23722436;7726503,29
W;2019.0;1353658,74;1211;1117,802428;9619766,15;7668;1254,533927;40678,63097;32,42529365;7281;30,78880583;10973424,89
I;2019.0;1390443,72;989;1405,908716;6576231,3;3646;1803,683845;54683,34299;30,31758761;3134;26,06015347;7966675,02
X;2019.0;1574345,9;1224;1286,23031;10022454,12;8170;1226,73857;52066,4303;42,4429716;6554;34,04788688;11596800,02
N;2019.0;1162874,28;1069;1087,815042;7801439,58;5551;1405,411562;43539,34307;30,97978147;3851;21,49218852;8964313,86
Z;2019.0;1186340;858;1382,680653;7551499,56;6298;1199,031369;33451,15028;27,89847801;5358;23,73452607;8737839,56
F;2019.0;1952000;1157;1687,121867;12710000;6807;1867,195534;55672,0914;29,81588719;6572;28,78654482;14662000
H;2019.0;909619,25;981;927,2367482;8795498,57;5791;1518,822064;40785,01481;26,85305658;5791;26,85305658;9705117,82
G;2019.0;1357918,25;958;1417,4512;8413436,51;5206;1616,103824;48625,92066;30,08836433;4537;26,22184191;9771354,76
BD;2019.0;1082663,04;1065;1016,585014;14869364,43;11526;1290,071528;53905,98937;41,78527175;8966;32,50448955;15952027,47
M;2019.0;2520000;2012;1252,485089;24197425,62;12338;1961,211349;49036,83721;25,00334155;11218;22,73362665;26717425,62
AB;2019.0;3814344;1357;2810,865144;46884659,06;8899;5268,53119;104288,9235;19,79468656;7995;17,78385426;50699003,06
D;2019.0;147191;234;629,0213675;6371009,88;5741;1109,738701;38323,39667;34,53371199;5507;33,1261369;6518200,88
C;2019.0;1457040,55;1347;1081,693059;9925210,54;3818;2599,583693;53691,10008;20,65373014;3422;18,51154127;11382251,09
S;2019.0;1190000;711;1673,699015;9673000;6547;1477,470597;48623,8452;32,91019482;6297;31,65350493;10863000
AC;2019.0;1625096,55;1032;1574,705959;13213067,22;7816;1690,515253;52611,56635;31,12161588;6429;25,59888287;14838163,77
Y;2019.0;1229000;1220;1007,377049;11122000;7887;1410,168632;53459,10571;37,90972547;6315;30,35373607;12351000
U;2019.0;1367811,4;1326;1031,531976;8515040,59;6807;1250,924135;51234,24593;40,9571168;5115;30,77650249;9882851,99
O;2019.0;2233168,8;1281;1743,301171;42710658,36;27774;1537,792841;55903,56406;36,35311765;25128;32,88979406;44943827,16
T;2019.0;1820940,36;1232;1478,036006;9973975,3;5803;1718,761899;56136,90172;32,66124398;4779;26,89782612;11794915,66
E;2019.0;2228000;1493;1492,297388;13288000;8272;1606,382979;52094,0547;32,42941154;8272;32,42941154;15516000
K;2018.0;1311702,06;1240;1057,824242;4804900,66;3548;1354,256105;42189,26983;31,15309555;2502;21,96872747;6116602,72
W;2018.0;1281622;1211;1058,317093;8556838,46;7833;1092,408842;33944,61465;31,07317823;7450;29,5538335;9838460,46
I;2018.0;1481086,25;989;1497,559403;6519540,33;3646;1788,135033;52844,89596;29,55307904;3134;25,40300321;8000626,58
X;2018.0;1516581,57;1224;1239,03723;9382218,07;7765;1208,270196;47866,04167;39,61534584;6159;31,42188217;10898799,64
N;2018.0;956868,16;1069;895,1058559;8158095,1;5574;1463,597973;45609,21286;31,16239139;3800;21,24454383;9114963,26
Z;2018.0;1178156,44;858;1373,142704;7177552,99;6298;1139,655921;31527,91521;27,66441575;5358;23,53539848;8355709,43
F;2018.0;1595000;1157;1378,565255;12157000;6807;1785,955634;51710,15635;28,95377431;6572;27,95419491;13752000
H;2018.0;1149000;981;1171,253823;9380306,46;5791;1619,807712;45132,56282;27,8629139;5791;27,8629139;10529306,46
G;2018.0;1323040,5;958;1381,044363;7886800,83;5066;1556,81027;46203,8599;29,67854258;4397;25,75928775;9209841,33
BD;2018.0;1403552,26;1065;1317,889446;15865425,89;12196;1300,87126;57723,44616;44,37291216;9529;34,66952115;17268978,15
M;2018.0;2735991,23;2012;1359,836595;23254118,35;12338;1884,755905;47491,21373;25,19754076;11218;22,91019714;25990109,58
AB;2018.0;3648493,57;1357;2688,646699;44319804,73;8899;4980,312926;104104,7071;20,90324616;7995;18,77980145;47968298,3
D;2018.0;144391;234;617,0555556;4420753,36;5741;770,0319387;28074,74346;36,45919351;5507;34,97313685;4565144,36
C;2018.0;1423127,56;1347;1056,516377;9280382,84;3818;2430,692205;51615,18357;21,23476739;3422;19,03231378;10703510,4
S;2018.0;1135000;711;1596,343179;8983000;6547;1372,078815;46078,86316;33,58324804;6297;32,30085732;10118000
AC;2018.0;1681644,18;1032;1629,500174;12819696,73;7816;1640,186378;50653,62755;30,88284858;6429;25,40248638;14501340,91
Y;2018.0;1151000;1220;943,442623;10758000;7887;1364,016736;51756,19055;37,94395565;6315;30,38114365;11909000
U;2018.0;1350356,84;1326;1018,368658;8279607,89;6502;1273,394016;51512,60027;40,45299384;4832;30,06288315;9629964,73
O;2018.0;2181828;1281;1703,222482;42120598,52;27774;1516,547797;55794,00886;36,79014204;25128;33,28518359;44302426,52
T;2018.0;1804453,98;1232;1464,654205;9562834,76;5803;1647,912245;53297,50182;32,34243933;4779;26,63527789;11367288,74
E;2018.0;2145000;1493;1436,704622;13347000;8272;1613,515474;54969,6544;34,06825363;8272;34,06825363;15492000
K;2017.0;1571703,68;1240;1267,502968;4325017,51;2514;1720,372916;41919,7097;24,36664128;1687;16,35104369;5896721,19
W;2017.0;1286332,45;1211;1062,206813;8231748,49;7720;1066,288665;36572,42935;34,29880722;7450;33,09923754;9518080,94
I;2017.0;1535390,5;989;1552,467644;5854337,98;3440;1701,842436;51181,35494;30,0740855;2928;25,59794254;7389728,48
X;2017.0;1464973,37;1224;1196,873668;8925648,96;7765;1149,471856;48975,07694;42,60659076;6159;33,79446136;10390622,33
N;2017.0;1171898,97;1069;1096,257222;8829747,35;5574;1584,095327;52948,07147;33,42480126;3800;22,78691152;10001646,32
Z;2017.0;1141417,17;845;1350,78955;5729672,3;5575;1027,74391;25014,3914;24,33912879;4465;19,49313185;6871089,47
F;2017.0;1761000;1157;1522,039758;11617000;6807;1706,625533;50840,22095;29,78990996;6572;28,76146441;13378000
H;2017.0;1137895;981;1159,933741;7845896,52;5791;1354,843122;40195,99892;29,66837877;5791;29,66837877;8983791,52
G;2017.0;1314586,05;958;1372,219259;7730522,93;5066;1525,961889;50277,90968;32,94833904;4397;28,59728518;9045108,98
BD;2017.0;1095281,59;1065;1028,433418;11661587,25;11570;1007,915925;45022,84928;44,66925085;9245;35,69293207;12756868,84
M;2017.0;2288750,46;2012;1137,54993;20631842,94;12338;1672,219399;43882,09781;26,24183038;11218;23,85968983;22920593,4
AB;2017.0;3611411,5;1357;2661,320192;42789738,7;8899;4808,376076;108637,0479;22,59329266;7995;20,2981655;46401150,2
D;2017.0;144391;234;617,0555556;3222126,81;5458;590,3493606;22582,17499;38,25222233;5219;36,5771983;3366517,81
C;2017.0;1443118,85;1347;1071,357721;9198669,19;3818;2409,289992;55596,81654;23,07601688;3422;20,6825903;10641788,04
S;2017.0;1122000;711;1578,059072;8580000;6216;1380,30888;46656,35201;33,80138509;5847;31,79483569;9702000
AC;2017.0;1718605,17;1032;1665,315087;12571467,38;7816;1608,427249;52434,94295;32,60013344;6429;26,81502787;14290072,55
Y;2017.0;1122000;1220;919,6721311;10460000;7887;1326,233042;55277,83986;41,68033681;6315;33,37280676;11582000
U;2017.0;1321548,86;1326;996,6431825;8099323,36;6502;1245,666466;55040,50986;44,18559171;4810;32,68728024;9420872,22
O;2017.0;2147792;1281;1676,652615;40608607,81;27774;1462,108728;57407,93795;39,2637954;25128;35,52317458;42756399,81
T;2017.0;1761269,53;1232;1429,601891;9408793,51;5788;1625,569024;56855,04706;34,97547396;4779;28,87833276;11170063,04
E;2017.0;1986000;1493;1330,207636;13179000;8272;1593,205996;60347,28955;37,87789507;8272;37,87789507;15165000
